,park_name,act_name
107,Cuyahoga Valley National Park,"['Arts and Culture', 'Biking', 'Camping', 'Fishing', 'Food', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Living History', 'Paddling', 'Park Film', 'Shopping', 'Skiing', 'Snow Play', 'Snowshoeing', 'Wildlife Watching']"
108,César E. Chávez National Monument,"['Junior Ranger Program', 'Park Film']"
109,Dayton Aviation Heritage National Historical Park,"['Biking', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
110,De Soto National Memorial,"['Fishing', 'Living History', 'Paddling', 'Shopping']"
111,Death Valley National Park,"['Astronomy', 'Biking', 'Camping', 'Canyoneering', 'Flying', 'Food', 'Golfing', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
112,Delaware Water Gap National Recreation Area,"['Arts and Culture', 'Auto and ATV', 'Biking', 'Boating', 'Camping', 'Climbing', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Shopping', 'Skiing', 'Snowshoeing', 'Swimming', 'Wildlife Watching']"
113,Denali National Park & Preserve,"['Arts and Culture', 'Astronomy', 'Biking', 'Camping', 'Climbing', 'Dog Sledding', 'Flying', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Park Film', 'Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching']"
114,Devils Postpile National Monument,"['Astronomy', 'Biking', 'Camping', 'Fishing', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Wildlife Watching']"
115,Devils Tower National Monument,"['Astronomy', 'Camping', 'Climbing', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching']"
116,Dinosaur National Monument,"['Astronomy', 'Biking', 'Camping', 'Fishing', 'Hiking', 'Junior Ranger Program', 'Paddling', 'Park Film', 'Shopping', 'Skiing', 'Wildlife Watching']"
117,Dry Tortugas National Park,"['Astronomy', 'Boating', 'Camping', 'Fishing', 'Guided Tours', 'Junior Ranger Program', 'Paddling', 'SCUBA Diving', 'Shopping', 'Snorkeling', 'Swimming', 'Wildlife Watching']"
118,Dwight D. Eisenhower Memorial,['Guided Tours']
119,Ebey's Landing National Historical Reserve,"['Astronomy', 'Biking', 'Boating', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'SCUBA Diving', 'Shopping', 'Wildlife Watching']"
120,Edgar Allan Poe National Historic Site,"['Guided Tours', 'Junior Ranger Program']"
121,Effigy Mounds National Monument,"['Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Wildlife Watching']"
122,Eisenhower National Historic Site,"['Biking', 'Guided Tours', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Shopping']"
123,El Camino Real de Tierra Adentro National Historic Trail,"['Arts and Culture', 'Auto and ATV', 'Hiking', 'Museum Exhibits']"
124,El Camino Real de los Tejas National Historic Trail,"['Auto and ATV', 'Museum Exhibits']"
125,El Malpais National Monument,"['Arts and Culture', 'Astronomy', 'Auto and ATV', 'Camping', 'Caving', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Wildlife Watching']"
126,El Morro National Monument,"['Arts and Culture', 'Astronomy', 'Camping', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
127,Eleanor Roosevelt National Historic Site,"['Guided Tours', 'Hands-On', 'Hiking', 'Museum Exhibits', 'Shopping']"
128,Ellis Island Part of Statue of Liberty National Monument,"['Food', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
129,Eugene O'Neill National Historic Site,"['Arts and Culture', 'Guided Tours', 'Museum Exhibits', 'Shopping']"
130,Everglades National Park,"['Astronomy', 'Biking', 'Boating', 'Camping', 'Compass and GPS', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Park Film', 'Shopping', 'Wildlife Watching']"
131,Federal Hall National Memorial,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping']"
132,Fire Island National Seashore,"['Arts and Culture', 'Boating', 'Camping', 'Fishing', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Swimming', 'Wildlife Watching']"
133,First Ladies National Historic Site,"['Guided Tours', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping']"
134,First State National Historical Park,"['Biking', 'Fishing', 'Food', 'Hands-On', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Living History']"
135,Flight 93 National Memorial,"['Auto and ATV', 'Guided Tours', 'Hiking', 'Junior Ranger Program']"
136,Florissant Fossil Beds National Monument,"['Astronomy', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Snowshoeing']"
137,Ford's Theatre,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program']"
138,Fort Bowie National Historic Site,"['Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Shopping', 'Wildlife Watching']"
139,Fort Davis National Historic Site,"['Arts and Culture', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
140,Fort Donelson National Battlefield,"['Auto and ATV', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film']"
141,Fort Dupont Park,"['Arts and Culture', 'Biking', 'Food', 'Junior Ranger Program', 'Wildlife Watching']"
142,Fort Foote Park,['Wildlife Watching']
143,Fort Frederica National Monument,"['Biking', 'Guided Tours', 'Hiking']"
144,Fort Laramie National Historic Site,"['Fishing', 'Guided Tours', 'Living History', 'Museum Exhibits', 'Shopping']"
145,Fort Larned National Historic Site,"['Food', 'Guided Tours', 'Junior Ranger Program', 'Living History', 'Park Film', 'Shopping']"
146,Fort Matanzas National Monument,"['Fishing', 'Junior Ranger Program', 'Living History']"
147,Fort McHenry National Monument and Historic Shrine,"['Arts and Culture', 'Biking', 'Compass and GPS', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Paddling', 'Park Film', 'Shopping', 'Skiing', 'Wildlife Watching']"
148,Fort Monroe National Monument,"['Biking', 'Guided Tours', 'Hands-On', 'Hiking', 'Living History', 'Museum Exhibits', 'Shopping', 'Wildlife Watching']"
149,Fort Necessity National Battlefield,"['Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Playground', 'Shopping', 'Skiing', 'Wildlife Watching']"
150,Fort Point National Historic Site,"['Arts and Culture', 'Fishing', 'Living History', 'Museum Exhibits', 'Park Film']"
151,Fort Pulaski National Monument,"['Biking', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film']"
152,Fort Raleigh National Historic Site,"['Arts and Culture', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
153,Fort Scott National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping']"
154,Fort Smith National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
155,Fort Stanwix National Monument,"['Arts and Culture', 'Astronomy', 'Biking', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Snow Play']"
